FM_PORT_CD,TO_PORT_CD,DSTN,ECA_DSTN
CNYTN,LKCMB,3074,0
CNYTN,NLRTM,13042,416
CNYTN,PAPCA,9196,0
CNYTN,SGSIN,1460,0
CNYTN,THLCH,1551,0
CNYTN,TWKEL,475,0
CNYTN,TWKHH,341,0
CNYTN,USHOU,14396,227
CNYTN,USLAX,6388,373
CNYTN,USLGB,6390,373
CNYTN,USNYC,13686,243
CNYTN,USOAK,6089,306
CNYTN,USSEA,5741,292
CNYTN,USTIW,5741,292
CNYTN,VNCMP,918,0
CNYTN,VNVUT,918,0
CNZOS,CNNBO,18,0
CNZOS,CNNGB,18,0
CNZOS,CNSHG,99,0
CNZOS,CNTAO,461,0
CNZOS,CNXMN,460,0
CNZOS,CNYTN,718,0
CNZOS,JPNGO,887,0
CNZOS,JPUKB,786,0
CNZOS,KRPUS,481,0
CNZOS,SGSIN,2070,0
CNZOS,THLCH,2058,0
CNZOS,TWKHH,507,0
COBUN,TWKHH,8925,0
COCNR,CAHAL,2152,282
COCNR,CASJB,2175,282
COCNR,DOCAU,541,0
COCNR,EGSCA,6066,0
COCNR,GBSOU,4276,150
COCNR,KRPUS,14334,0
COCNR,PAMIT,276,0
COCNR,PAPCA,227,0
COCNR,USCHS,1400,221
COCNR,USNYC,1830,276
COCNR,USSAV,1334,256
COCTG,DOCAU,541,0
COCTG,GBSOU,4276,150
COCTG,PAPCA,227,0
COCTG,PAPCN,227,0
COCTG,USNYC,1830,276
COCTG,USSAV,1334,256
COSPC,DOCAU,541,0
COSPC,GBSOU,4276,150
COSPC,PAPCA,227,0
COSPC,USSAV,1334,256
DEBRV,BEANR,264,264
DEBRV,CAHAL,2938,980
DEBRV,DEHAM,38,38
DEBRV,FRLEH,418,418
DEBRV,GBFXT,250,250
DEBRV,GBLGP,289,289
DEBRV,GBSOU,397,397
DEBRV,MXATM,5338,589
DEBRV,MXTUX,5340,589
DEBRV,MXVER,5330,589
DEBRV,NLRTM,227,227
DEBRV,USCHS,3986,967
DEBRV,USHOU,5225,911
DEBRV,USMIA,4282,620
DEBRV,USNYC,3598,957
DEHAM,BEANR,267,267
DEHAM,CAHAL,2844,1211
DEHAM,DEBRV,13,13
DEHAM,DEWVN,114,114
DEHAM,ESALG,1618,595
DEHAM,FRLEH,421,421
DEHAM,GBFXT,360,360
DEHAM,GBLGP,291,291
