BSE_YM,BNK_OIL_TP_CD,TRDE_CD,VSL_SVCE_LANE_CD,BNK_PRCE_USD_VAL
202504,LSFO,TPT,FP2,738.391
202504,LSFO,TPT,MS2,567.85
202504,LSFO,TPT,PN1,600.14
202504,LSFO,TPT,PN2,593.982
202504,LSFO,TPT,PN3,602.322
202504,LSFO,TPT,PN4,612.282
202504,LSFO,TPT,PS3,581.601
202504,LSFO,TPT,PS4,591.331
202504,LSFO,TPT,PS5,980.65
202504,LSFO,TPT,PS6,578.416
202504,LSFO,TPT,PS7,581.601
202504,LSFO,WAT,AG1,350.182
202504,LSFO,WAT,AG2,560.25
202504,LSFO,WAT,AG3,560.25
202504,MGO,MET,MD1,688.8
202504,MGO,MET,MD2,688.8
202504,MGO,MET,MD3,688.8
202504,MGO,MET,MD4,567.85
202504,MGO,MET,MD5,567.85
202504,MGO,MET,MS2,567.85
202504,MGO,NET,FE2,678.51
202504,MGO,NET,FE3,678.51
202504,MGO,NET,FE4,686.989
202504,MGO,NET,FP1,678.51
202504,MGO,NET,FP2,1064.096
202504,MGO,TAT,AL2,674.1
202504,MGO,TAT,AL3,674.1
202504,MGO,TAT,AL4,674.1
202504,MGO,TAT,AL5,695.38
202504,MGO,TAT,AL6,783.211
202504,MGO,TAT,AT1,690
202504,MGO,TAT,AT2,690
202504,MGO,TAT,AT3,690
202504,MGO,TAT,AT4,690
202504,MGO,TPT,EC1,717.063
202504,MGO,TPT,EC2,717.063
202504,MGO,TPT,EC3,617.455
202504,MGO,TPT,EC4,779.67
202504,MGO,TPT,EC5,717.123
202504,MGO,TPT,EC6,717.063
202504,MGO,TPT,FP1,678.51
202504,MGO,TPT,FP2,1064.096
202504,MGO,TPT,MS2,567.85
202504,MGO,TPT,PN1,707
202504,MGO,TPT,PN2,688.8
202504,MGO,TPT,PN3,717.063
202504,MGO,TPT,PN4,717.063
202504,MGO,TPT,PS3,688.8
202504,MGO,TPT,PS4,780.5
202504,MGO,TPT,PS5,679.535
202504,MGO,TPT,PS6,707
202504,MGO,TPT,PS7,688.8
202504,MGO,WAT,AG1,310.591
202504,MGO,WAT,AG2,688.8
202504,MGO,WAT,AG3,688.8
202505,LSFO,MET,MD4,567.85
202505,LSFO,MET,MD5,567.85
202505,LSFO,MET,MS2,567.85
202505,LSFO,NET,FE2,497.595
202505,LSFO,MET,MD1,513.198
202505,LSFO,MET,MD2,519.089
202505,LSFO,MET,MD3,527.655
202505,LSFO,NET,FE3,497.595
202505,LSFO,NET,FE4,513.176
202505,LSFO,NET,FP1,499.174
202505,LSFO,NET,FP2,738.391
202505,LSFO,TAT,AL2,492.857
202505,LSFO,TAT,AL3,492.857
202505,LSFO,TAT,AL4,536.9
202505,LSFO,TAT,AL5,529.8
202505,LSFO,TAT,AL6,577.002
202505,LSFO,TAT,AT1,542
202505,LSFO,TAT,AT2,542
202505,LSFO,TAT,AT3,542
202505,LSFO,TAT,AT4,542
202505,LSFO,TPT,EC1,554.74
202505,LSFO,TPT,EC2,573.534
202505,LSFO,TPT,EC3,540.956
202505,LSFO,TPT,EC4,600.841
202505,LSFO,TPT,EC5,524.873
202505,LSFO,TPT,EC6,517.8
202505,LSFO,TPT,FP1,499.174
202505,LSFO,TPT,FP2,738.391
202505,LSFO,TPT,MS2,567.85
202505,LSFO,TPT,PN1,548.395
202505,LSFO,TPT,PN2,543.266
202505,LSFO,TPT,PN3,548.756
202505,LSFO,TPT,PN4,574.429
202505,LSFO,TPT,PS3,540.855
202505,LSFO,TPT,PS4,547.26
202505,LSFO,TPT,PS5,980.65
202505,LSFO,TPT,PS6,535.92
202505,LSFO,TPT,PS7,540.855
202505,LSFO,WAT,AG1,350.182
202505,LSFO,WAT,AG2,508.65
202505,LSFO,WAT,AG3,508.65
202505,MGO,MET,MD1,645.138
202505,MGO,MET,MD2,645.138
202505,MGO,MET,MD3,645.138
202505,MGO,MET,MD4,567.85
202505,MGO,MET,MD5,567.85
202505,MGO,MET,MS2,567.85
202505,MGO,NET,FE2,637.975
202505,MGO,NET,FE3,637.975
202505,MGO,NET,FE4,649.66
202505,MGO,NET,FP1,637.975
202505,MGO,NET,FP2,1064.096
202505,MGO,TAT,AL2,634.905
202505,MGO,TAT,AL3,634.905
202505,MGO,TAT,AL5,650.824
202505,MGO,TAT,AT1,690
202505,MGO,TAT,AT2,690
202505,MGO,TAT,AT3,690
202505,MGO,TAT,AT4,690
202505,MGO,TPT,EC1,684.088
202505,MGO,TPT,EC2,684.088
202505,MGO,TPT,EC3,617.455
202505,MGO,TPT,EC4,779.67
202505,MGO,TPT,EC5,667.84
202505,MGO,TPT,EC6,684.088
202505,MGO,TPT,FP1,637.975
202505,MGO,TPT,FP2,1064.096
202505,MGO,TPT,MS2,567.85
202505,MGO,TPT,PN1,673
202505,MGO,TPT,PN2,645.138
202505,MGO,TPT,PN3,684.088
202505,MGO,TPT,PN4,684.088
202505,MGO,TPT,PS3,645.138
202505,MGO,TPT,PS4,714.5
202505,MGO,TPT,PS5,679.535
202505,MGO,TPT,PS6,673
202505,MGO,TPT,PS7,645.138
202505,MGO,WAT,AG1,310.591
202505,MGO,WAT,AG2,645.138
202505,MGO,WAT,AG3,645.138
202506,LSFO,MET,MD4,567.85
202506,LSFO,MET,MD5,567.85
202506,LSFO,MET,MS2,567.85
202506,LSFO,NET,FE2,467.846
202505,MGO,TAT,AL4,674.1
202505,MGO,TAT,AL6,783.211
202506,LSFO,MET,MD1,493.298
202506,LSFO,MET,MD2,498.908
202506,LSFO,MET,MD3,517.013
202506,LSFO,NET,FE3,467.846
202506,LSFO,NET,FE4,482.246
202506,LSFO,NET,FP1,471.528
202506,LSFO,NET,FP2,738.391
202506,LSFO,TAT,AL2,492.857
202506,LSFO,TAT,AL3,492.857
202506,LSFO,TAT,AL4,536.9
202506,LSFO,TAT,AL5,487.217
202506,LSFO,TAT,AL6,577.002
202506,LSFO,TAT,AT1,542
202506,LSFO,TAT,AT2,542
202506,LSFO,TAT,AT3,542
202506,LSFO,TAT,AT4,542
202506,LSFO,TPT,EC1,531.848
202506,LSFO,TPT,EC2,560.133
202506,LSFO,TPT,EC3,540.956
202506,LSFO,TPT,EC4,600.841
202506,LSFO,TPT,EC5,501.334
202506,LSFO,TPT,EC6,515.19
202506,LSFO,TPT,FP1,499.174
202506,LSFO,TPT,FP2,738.391
202506,LSFO,TPT,MS2,567.85
202506,LSFO,TPT,PN1,548.395
202506,LSFO,TPT,PN2,543.266
202506,LSFO,TPT,PN3,548.756
202506,LSFO,TPT,PN4,574.429
202506,LSFO,TPT,PS3,540.855
202506,LSFO,TPT,PS4,547.26
202506,LSFO,TPT,PS5,980.65
202506,LSFO,TPT,PS6,535.92
202506,LSFO,TPT,PS7,512.99
202506,LSFO,WAT,AG1,350.182
202506,LSFO,WAT,AG2,508.65
202506,LSFO,WAT,AG3,508.65
202506,MGO,MET,MD1,616.012
202506,MGO,MET,MD2,616.012
202506,MGO,MET,MD3,616.012
202506,MGO,MET,MD4,567.85
202506,MGO,MET,MD5,567.85
202506,MGO,MET,MS2,567.85
202506,MGO,NET,FE2,618.244
202506,MGO,NET,FE3,618.244
202506,MGO,NET,FE4,628.204
202506,MGO,NET,FP1,618.244
202506,MGO,NET,FP2,1064.096
202506,MGO,TAT,AL2,634.905
202506,MGO,TAT,AL3,634.905
202506,MGO,TAT,AL4,674.1
202506,MGO,TAT,AL5,636.993
202506,MGO,TAT,AL6,783.211
202506,MGO,TAT,AT1,690
202506,MGO,TAT,AT2,690
202506,MGO,TAT,AT3,690
202506,MGO,TAT,AT4,690
202506,MGO,TPT,EC1,649.214
202506,MGO,TPT,EC2,649.214
202506,MGO,TPT,EC3,617.455
202506,MGO,TPT,EC4,779.67
202506,MGO,TPT,EC5,633.851
202506,MGO,TPT,EC6,649.214
202506,MGO,TPT,FP1,637.975
202506,MGO,TPT,FP2,1064.096
202506,MGO,TPT,MS2,567.85
202506,MGO,TPT,PN1,673
202506,MGO,TPT,PN2,645.138
202506,MGO,TPT,PN3,684.088
202506,MGO,TPT,PN4,684.088
202506,MGO,TPT,PS3,645.138
202506,MGO,TPT,PS4,714.5
202506,MGO,TPT,PS5,679.535
202506,MGO,TPT,PS6,673
202506,MGO,TPT,PS7,616.012
202506,MGO,WAT,AG1,310.591
202506,MGO,WAT,AG2,645.138
202506,MGO,WAT,AG3,645.138
202507,LSFO,MET,MD1,493.298
202507,LSFO,MET,MD2,498.908
202507,LSFO,MET,MD3,517.013
202507,LSFO,MET,MD4,567.85
202507,LSFO,MET,MD5,567.85
202507,LSFO,MET,MS2,567.85
202507,LSFO,NET,FE2,467.846
202507,LSFO,NET,FE3,467.846
202507,LSFO,NET,FE4,482.246
202507,LSFO,NET,FP1,471.528
202507,LSFO,NET,FP2,738.391
202507,LSFO,TAT,AL2,492.857
202507,LSFO,TAT,AL3,492.857
202507,LSFO,TAT,AL4,536.9
202507,LSFO,TAT,AL5,487.217
202507,LSFO,TAT,AL6,577.002
202507,LSFO,TAT,AT1,542
202507,LSFO,TAT,AT2,542
202507,LSFO,TAT,AT3,542
202507,LSFO,TAT,AT4,542
202507,LSFO,TPT,EC1,531.848
202507,LSFO,TPT,EC2,560.133
202507,LSFO,TPT,EC3,540.956
202507,LSFO,TPT,EC4,600.841
202507,LSFO,TPT,EC5,501.334
202507,LSFO,TPT,EC6,515.19
202507,LSFO,TPT,FP1,499.174
202507,LSFO,TPT,FP2,738.391
202507,LSFO,TPT,MS2,567.85
202507,LSFO,TPT,PN1,548.395
202507,LSFO,TPT,PN2,543.266
202507,LSFO,TPT,PN3,548.756
202507,LSFO,TPT,PN4,574.429
202507,LSFO,TPT,PS3,540.855
202507,LSFO,TPT,PS4,547.26
202507,LSFO,TPT,PS5,980.65
202507,LSFO,TPT,PS6,535.92
202507,LSFO,TPT,PS7,512.99
202507,LSFO,WAT,AG1,350.182
202507,LSFO,WAT,AG2,508.65
202507,LSFO,WAT,AG3,508.65
202507,MGO,MET,MD1,616.012
202507,MGO,MET,MD2,616.012
202507,MGO,MET,MD3,616.012
202507,MGO,MET,MD4,567.85
202507,MGO,MET,MD5,567.85
202507,MGO,MET,MS2,567.85
202507,MGO,NET,FE2,618.244
202507,MGO,NET,FE3,618.244
202507,MGO,NET,FE4,628.204
202507,MGO,NET,FP1,618.244
202507,MGO,NET,FP2,1064.096
202507,MGO,TAT,AL2,634.905
202507,MGO,TAT,AL3,634.905
202507,MGO,TAT,AL4,674.1
202507,MGO,TAT,AL5,636.993
202507,MGO,TAT,AL6,783.211
202507,MGO,TAT,AT1,690
202507,MGO,TAT,AT2,690
202507,MGO,TAT,AT3,690
202507,MGO,TAT,AT4,690
202507,MGO,TPT,EC1,649.214
202507,MGO,TPT,EC2,649.214
202507,MGO,TPT,EC3,617.455
202507,MGO,TPT,EC4,779.67
202507,MGO,TPT,EC5,633.851
202507,MGO,TPT,EC6,649.214
202507,MGO,TPT,FP1,637.975
202507,MGO,TPT,FP2,1064.096
202507,MGO,TPT,MS2,567.85
202507,MGO,TPT,PN1,673
202507,MGO,TPT,PN2,645.138
202507,MGO,TPT,PN3,684.088
202507,MGO,TPT,PN4,684.088
202507,MGO,TPT,PS3,645.138
202507,MGO,TPT,PS4,714.5
202507,MGO,TPT,PS5,679.535
202507,MGO,TPT,PS6,673
202507,MGO,TPT,PS7,616.012
202507,MGO,WAT,AG1,310.591
202507,MGO,WAT,AG2,645.138
202507,MGO,WAT,AG3,645.138
202508,LSFO,MET,MD1,493.298
202508,LSFO,MET,MD2,498.908
202508,LSFO,MET,MD3,517.013
202508,LSFO,MET,MD4,567.85
202508,LSFO,MET,MD5,567.85
202508,LSFO,MET,MS2,567.85
202508,LSFO,NET,FE2,467.846
202508,LSFO,NET,FE3,467.846
202508,LSFO,NET,FE4,482.246
202508,LSFO,NET,FP1,471.528
202508,LSFO,NET,FP2,738.391
202508,LSFO,TAT,AL2,492.857
202508,LSFO,TAT,AL3,492.857
202508,LSFO,TAT,AL4,536.9
202508,LSFO,TAT,AL5,487.217
202508,LSFO,TAT,AL6,577.002
202508,LSFO,TAT,AT1,542
202508,LSFO,TAT,AT2,542
202508,LSFO,TAT,AT3,542
202508,LSFO,TAT,AT4,542
202508,LSFO,TPT,EC1,531.848
202508,LSFO,TPT,EC2,560.133
202508,LSFO,TPT,EC3,540.956
202508,LSFO,TPT,EC4,600.841
202508,LSFO,TPT,EC5,501.334
202508,LSFO,TPT,EC6,515.19
202508,LSFO,TPT,FP1,499.174
202508,LSFO,TPT,FP2,738.391
202508,LSFO,TPT,MS2,567.85
202508,LSFO,TPT,PN1,548.395
202508,LSFO,TPT,PN2,543.266
202508,LSFO,TPT,PN3,548.756
202508,LSFO,TPT,PN4,574.429
202508,LSFO,TPT,PS3,540.855
202508,LSFO,TPT,PS4,547.26
202508,LSFO,TPT,PS5,980.65
202508,LSFO,TPT,PS6,535.92
202508,LSFO,TPT,PS7,512.99
202508,LSFO,WAT,AG1,350.182
202508,LSFO,WAT,AG2,508.65
202508,LSFO,WAT,AG3,508.65
202508,MGO,MET,MD1,616.012
202508,MGO,MET,MD2,616.012
202508,MGO,MET,MD3,616.012
202508,MGO,MET,MD4,567.85
202508,MGO,MET,MD5,567.85
202508,MGO,MET,MS2,567.85
202508,MGO,NET,FE2,618.244
202508,MGO,NET,FE3,618.244
202508,MGO,NET,FE4,628.204
202508,MGO,NET,FP1,618.244
202508,MGO,NET,FP2,1064.096
202508,MGO,TAT,AL2,634.905
202508,MGO,TAT,AL3,634.905
202508,MGO,TAT,AL4,674.1
202508,MGO,TAT,AL5,636.993
202508,MGO,TAT,AL6,783.211
202508,MGO,TAT,AT1,690
202508,MGO,TAT,AT2,690
202508,MGO,TAT,AT3,690
202508,MGO,TAT,AT4,690
202508,MGO,TPT,EC1,649.214
202508,MGO,TPT,EC2,649.214
202508,MGO,TPT,EC3,617.455
202508,MGO,TPT,EC4,779.67
202508,MGO,TPT,EC5,633.851
202508,MGO,TPT,EC6,649.214
202508,MGO,TPT,FP1,637.975
202508,MGO,TPT,FP2,1064.096
202508,MGO,TPT,MS2,567.85
202508,MGO,TPT,PN1,673
202508,MGO,TPT,PN2,645.138
202508,MGO,TPT,PN3,684.088
202508,MGO,TPT,PN4,684.088
202508,MGO,TPT,PS3,645.138
202508,MGO,TPT,PS4,714.5
202508,MGO,TPT,PS5,679.535
202508,MGO,TPT,PS6,673
202508,MGO,TPT,PS7,616.012
202508,MGO,WAT,AG1,310.591
202508,MGO,WAT,AG2,645.138
202508,MGO,WAT,AG3,645.138
202509,LSFO,MET,MD1,493.298
202509,LSFO,MET,MD2,498.908
202509,LSFO,MET,MD3,517.013
202509,LSFO,MET,MD4,567.85
202509,LSFO,MET,MD5,567.85
202509,LSFO,MET,MS2,567.85
202509,LSFO,NET,FE2,467.846
202509,LSFO,NET,FE3,467.846
202509,LSFO,NET,FE4,482.246
202509,LSFO,NET,FP1,471.528
202509,LSFO,NET,FP2,738.391
202509,LSFO,TAT,AL2,492.857
202509,LSFO,TAT,AL3,492.857
202509,LSFO,TAT,AL4,536.9
202509,LSFO,TAT,AL5,487.217
202509,LSFO,TAT,AL6,577.002
202509,LSFO,TAT,AT1,542
202509,LSFO,TAT,AT2,542
202509,LSFO,TAT,AT3,542
202509,LSFO,TAT,AT4,542
202509,LSFO,TPT,EC1,531.848
202509,LSFO,TPT,EC2,560.133
202509,LSFO,TPT,EC3,540.956
202509,LSFO,TPT,EC4,600.841
202509,LSFO,TPT,EC5,501.334
202509,LSFO,TPT,EC6,515.19
202509,LSFO,TPT,FP1,499.174
202509,LSFO,TPT,FP2,738.391
202509,LSFO,TPT,MS2,567.85
202509,LSFO,TPT,PN1,548.395
202509,LSFO,TPT,PN2,543.266
202509,LSFO,TPT,PN3,548.756
202509,LSFO,TPT,PS6,535.92
202509,LSFO,TPT,GS2,540.855
202509,LSFO,TPT,PN4,574.429
202509,LSFO,TPT,PS3,540.855
202509,LSFO,TPT,PS4,547.26
202509,LSFO,TPT,PS5,980.65
202509,LSFO,TPT,PS7,512.99
202509,LSFO,WAT,AG1,350.182
202509,LSFO,WAT,AG2,508.65
202509,LSFO,WAT,AG3,508.65
202509,LSFO,WAT,GS2,540.855
202509,MGO,MET,MD1,616.012
202509,MGO,MET,MD2,616.012
202509,MGO,MET,MD3,616.012
202509,MGO,MET,MD4,567.85
202509,MGO,MET,MD5,567.85
202509,MGO,MET,MS2,567.85
202509,MGO,NET,FE2,618.244
202509,MGO,NET,FE3,618.244
202509,MGO,NET,FE4,628.204
202509,MGO,NET,FP1,618.244
202509,MGO,NET,FP2,1064.096
202509,MGO,TAT,AL2,634.905
202509,MGO,TAT,AL3,634.905
202509,MGO,TAT,AL4,674.1
202509,MGO,TAT,AL5,636.993
202509,MGO,TAT,AL6,783.211
202509,MGO,TAT,AT1,690
202509,MGO,TAT,AT2,690
202509,MGO,TAT,AT3,690
202509,MGO,TAT,AT4,690
202509,MGO,TPT,EC1,649.214
202509,MGO,TPT,EC2,649.214
202509,MGO,TPT,EC3,617.455
202509,MGO,TPT,EC4,779.67
202509,MGO,TPT,EC5,633.851
202509,MGO,TPT,EC6,649.214
202509,MGO,TPT,FP1,637.975
202509,MGO,TPT,GS2,645.138
202509,MGO,TPT,PN2,645.138
202509,MGO,TPT,FP2,1064.096
202509,MGO,TPT,MS2,567.85
202509,MGO,TPT,PN1,673
